quote,character,movie
"You know the laws of our country, the laws of your father. If you let them go      your life will be forfeit.      Â     ",Madril,The Two Towers 
"Then it is forfeit. Release them.,Â     ",Faramir,The Two Towers 
They have broken through! The castle is breached. Retreat!,Théoden,The Two Towers 
"Folk in those stories......had lots of chances of turning back, only they didn't.      They kept going......because they were holding on to something.    ",Samwise Gamgee,The Two Towers 
"But in the end, it's only a passing thing...... this shadow. Even darkness must pass.      A new day will come. And when the sun shines, it will shine out the clearer.      Those were the stories      that stayed with you......that meant something. Even if you were too small      to understand why. But I think, Mr. Frodo, I do understand. I know now.      Â     ",Samwise Gamgee,The Two Towers 
Retreat!,Théoden,The Two Towers 
Hurry! Inside. Get them inside!,Aragorn II Elessar,The Two Towers 
Into the Keep!,Gamling,The Two Towers 
Pull everybody back. Pull them back.,Théoden,The Two Towers 
Fall back!,Gamling,The Two Towers 
I will leave you at the western borders of the forest. You can make your way north      to your homeland from there.,Treebeard,The Two Towers 
"That doesn't make sense to me.      But then......you are very small. ,Perhaps you're right. South it is, then.      Hold on, little Shirelings. ,I always like going south. Somehow it feels like going downhill.,Â     ",Treebeard,The Two Towers 
Are you mad? We'll be caught.,Meriadoc Brandybuck,The Two Towers 
"No, we won't. Not this time.      Â ",Peregrin Took,The Two Towers 
Look! Osgiliath burns!,MINOR_CHARACTER,The Two Towers 
Mordor has come.,MINOR_CHARACTER,The Two Towers 
"The Ring will not save Gondor.      , It has only the power to destroy.      Please......Iet me go.Â       Â ",Frodo Baggins,The Two Towers 
South? But that will lead you past lsengard.,Treebeard,The Two Towers 
"Yes. Exactly.,If we go south, we can slip      past Saruman unnoticed. The closer we are to danger, the farther we are from harm.      It's the last thing he'll expect.      Â ",Peregrin Took,The Two Towers 
Wait! Stop! Stop! Turn around. Turn around. Take us south.,Peregrin Took,The Two Towers 
Hurry.,Faramir,The Two Towers 
Faramir! You must let me go!,Frodo Baggins,The Two Towers 
"And those little family of field mice......that climb up sometimes, and they tickle me awfully.Â       Â ",Treebeard,The Two Towers 
They had voices of their own.,Treebeard,The Two Towers 
Saruman. A wizard should know better!,Treebeard,The Two Towers 
There is no curse in Elvish......Entish or the tongues of Men......for this treachery.,Treebeard,The Two Towers 
"You could have picked a better spot.,Â     ",Gimli,The Two Towers 
"Well, lad, whatever luck you live by, let's hope it lasts the night.      Â ",Gimli,The Two Towers 
"Your friends are with you, Aragorn.      Â ",Legolas,The Two Towers 
Let's hope they last the night.,Gimli,The Two Towers 
Many of these trees were my friends. Creatures I had known from nut and acorn.,Treebeard,The Two Towers 
" A      Eruch'n, '-dano i faelas a hyn an uben tanatha le faelas! ,Â     ",Aragorn II Elessar,The Two Towers 
What's happening out there?,Gimli,The Two Towers 
"I'm sorry, Treebeard.      Â ",Peregrin Took,The Two Towers 
Shall I describe it to you? Or would you like me to find you a box?,Legolas,The Two Towers 
Look! The trees! They're moving!,Peregrin Took,The Two Towers 
They're always trying to get somewhere where they....,Treebeard,The Two Towers 
Yes!,Meriadoc Brandybuck,The Two Towers 
They have business with the Orcs. My business is with lsengard tonight......with rock and stone.,Treebeard,The Two Towers 
So it begins.,Théoden,The Two Towers 
Tangado a chadad!,Aragorn II Elessar,The Two Towers 
Faeg i-varv d'n na lanc a      nu ranc.,Legolas,The Two Towers 
Leithio i philinn!,Aragorn II Elessar,The Two Towers 
"Did they hit anything?,Â     ",Gimli,The Two Towers 
Where are they going?,Meriadoc Brandybuck,The Two Towers 
"Come, my friends. The Ents are going to war. It is likely......that we go to our doom.      Last march......of the Ents.      Â ",Treebeard,The Two Towers 
Give them a volley.,Théoden,The Two Towers 
Fire!,Gamling,The Two Towers 
Fire!,MINOR_CHARACTER,The Two Towers 
"Pendraith! ,Â     ",Aragorn II Elessar,The Two Towers 
Good!,Gimli,The Two Towers 
Swords! Swords!,Aragorn II Elessar,The Two Towers 
I'm on 17!,Legolas,The Two Towers 
Legolas! Two already!,Gimli,The Two Towers 
I'll have no pointy-ear outscoring me!,Gimli,The Two Towers 
Ribed bant!,Aragorn II Elessar,The Two Towers 
"Send them to me! Come on!,Â     ",Gimli,The Two Towers 
Nineteen!,Legolas,The Two Towers 
Merry.,Peregrin Took,The Two Towers 
"I have told your names to the Entmoot......and we have agreed......you are not      Orcs.,Â     ",Treebeard,The Two Towers 
And what about Saruman? Have you come to a decision about him?,Meriadoc Brandybuck,The Two Towers 
"Well, that's good news. ",Peregrin Took,The Two Towers 
"We have just agreed.,Â     ",Treebeard,The Two Towers 
Yes?,Meriadoc Brandybuck,The Two Towers 
"Now, don't be hasty, Master Meriadoc.      Â ",Treebeard,The Two Towers 
"War? Yes. It affects us all. Tree, root and twig.      But you must understand, young Hobbit......it takes a long time......to say anything in Old      Entish... ,...and we never say anything......unless it is worth taking......a long time to say.,Â     ",Treebeard,The Two Towers 
"Hasty? Our friends are out there. ,They need our help. They cannot fight this war on their own.      Â ",Meriadoc Brandybuck,The Two Towers 
Seventeen! Eighteen! Nineteen! Twenty! Twenty-one!,Gimli,The Two Towers 
Is this it? Is this is all you can conjure      Saruman?,Théoden,The Two Towers 
"Togo hon dad, Legolas! ,Â ",Aragorn II Elessar,The Two Towers 
Brace the gate!,Théoden,The Two Towers 
Aragorn!,Gimli,The Two Towers 
Hold them! Stand firm!,Théoden,The Two Towers 
Gimli!,Aragorn II Elessar,The Two Towers 
Hado i philinn!,Aragorn II Elessar,The Two Towers 
Herio!,Aragorn II Elessar,The Two Towers 
Causeway!,Aragorn II Elessar,The Two Towers 
Dago hon! Dago hon!,Aragorn II Elessar,The Two Towers 
"The Ents cannot hold back this storm. We must weather such things as we have always done.,Â     ",Treebeard,The Two Towers 
How can that be your decision?!,Meriadoc Brandybuck,The Two Towers 
"You are young and brave, Master Merry. But your part in this tale is over.      Go back to your home.,Â     ",Treebeard,The Two Towers 
"Maybe Treebeard's right. We don't belong here, Merry. It's too big for us.      What can we do in the end? We've got the Shire. Maybe we should go home.,Â     ",Peregrin Took,The Two Towers 
"The fires of lsengard will spread......and the woods of Tuckborough and Buckland will burn.      And.... ,And all that was once green and good      in this world will be gone. There won't be a Shire, Pippin.      Â ",Meriadoc Brandybuck,The Two Towers 
Boromir! Boromir!,MINOR_CHARACTER,The Two Towers 
"This city was once the jewel of our kingdom. A place of light and beauty     and music. And so it shall be once more! ,Let the armies of Mordor know this:     Never again will the land of my people fall into enemy hands.    ,This city of Osgiliath has been     reclaimed ,for     Gondor!Â ",Boromir,The Two Towers 
For Gondor!,MINOR_CHARACTER,The Two Towers 
" But you're part of this world!      Aren't you?!,Â     ",Meriadoc Brandybuck,The Two Towers 
"This is not our war.,Â     ",Treebeard,The Two Towers 
For Gondor!,MINOR_CHARACTER,The Two Towers 
You must help. Please. You must do something.,Meriadoc Brandybuck,The Two Towers 
For Gondor!,Boromir,The Two Towers 
"Remember today, little brother. Today, life is good.Â ",Boromir,The Two Towers 
What?,Boromir,The Two Towers 
He's here.,Faramir,The Two Towers 
" One moment of peace, can he not give us that?Â ",Boromir,The Two Towers 
Where is he? Where is Gondor's finest? Where's my first-born?,Denethor I,The Two Towers 
Father!,Boromir,The Two Towers 
Leaves more time for drinking!     Break out the ale! These men are thirsty!,Boromir,The Two Towers 
Good speech. Nice and short.,Faramir,The Two Towers 
They exaggerate. The victory belongs to Faramir also.,Boromir,The Two Towers 
Were you not entrusted to protect it?,Denethor I,The Two Towers 
"But for Faramir, this city would still be standing.Â ",Denethor I,The Two Towers 
"Oh, too few. You let the enemy walk in and take it on a whim. Always you     cast a poor reflection on me. ",Denethor I,The Two Towers 
"I would have done, but our numbers were too few.Â ",Faramir,The Two Towers 
That is not my intent.,Faramir,The Two Towers 
For Gondor!,Boromir,The Two Towers 
They say you vanquished the enemy almost single-handedly.,Denethor I,The Two Towers 
"You give him no credit, and yet he tries to do your will.Â ",Boromir,The Two Towers 
"lt has fallen into the hands of     the Elves. Everyone will try to claim it: Men, Dwarves, wizards. We cannot     let that happen. This thing must come to Gondor.Â ",Denethor I,The Two Towers 
Gondor.,Boromir,The Two Towers 
" It's dangerous,     I know. Ever the Ring will seek to corrupt the hearts of lesser Men. But     you, you are strong.    And our need is great. It is our blood which is being spilled, our people     who are dying. Sauron is biding his time. He's massing fresh armies. He will     return. And when he does, we will be powerless to stop him. You must go.    ,Bring me back this     mighty gift    .",Denethor I,The Two Towers 
"No. My place is here with     my people. ,Not in Rivendell.Â ",Boromir,The Two Towers 
Would you deny your own father?,Denethor I,The Two Towers 
"He loves you, Father.Â ",Boromir,The Two Towers 
lf there is need to go to Rivendell......send me in his stead.,Faramir,The Two Towers 
The One Ring. lsildur's     Bane.,Boromir,The Two Towers 
"Do not trouble me with Faramir......I know his uses, and they are few.     We have more urgent things to speak of. Elrond of Rivendell has called a     meeting. He will not say why, but I have guessed its purpose. It is rumored     that the weapon of the enemy has been found.Â  Â ",Denethor I,The Two Towers 
"You? Oh, I see. A chance for Faramir, captain of Gondor, to show his     quality. I think not. ,I trust this mission only to your brother. The one who will not     fail me.Â ",Denethor I,The Two Towers 
"Remember today, little brother. Â ",Boromir,The Two Towers 
"Captain Faramir! ,We     found the third one.Â ",MINOR_CHARACTER,The Two Towers 
You must come with me. Now.,Faramir,The Two Towers 
Down there.,Faramir,The Two Towers 
"To enter the Forbidden Pool bears the penalty of death.    ,They wait for my command. Shall I     shoot?Â ",Faramir,The Two Towers 
The rock and pool    Is nice and cool    So juicy sweet    Our only wish    To catch a fish    So juicy sweet,Gollum,The Two Towers 
Wait. This creature is bound to me. And I to him. He is our guide.     Please......Iet me go down to him.,Frodo Baggins,The Two Towers 
"Smeagol. , Master is here.     Come, Smeagol. Trust master. Come.Â ",Frodo Baggins,The Two Towers 
We must go now?,Gollum,The Two Towers 
"Don't hurt him! ,Smeagol, don't struggle. Smeagol, listen     to me.Â ",Frodo Baggins,The Two Towers 
"Smeagol, you must trust master. Follow me. Come on. Come. Come, Smeagol.     Nice Smeagol. That's it. Come on.Â ",Frodo Baggins,The Two Towers 
"Arwen. ,Tollen i l'. I chair gwannar     na Valannor. Si bado, no c'rar. ",Elrond,The Two Towers 
Brego.,Aragorn II Elessar,The Two Towers 
He is not coming back.Why do you linger herewhen there is no hope?,Elrond,The Two Towers 
May the grace of the Valarprotect you.,Arwen,The Two Towers 
Master!,Gollum,The Two Towers 
"That's enough. ,Where     are you leading them? ,Answer me.Â ",Faramir,The Two Towers 
"    Smeagol. Why does it cry, Smeagol?Â ",Gollum,The Two Towers 
Cruel Men hurts us. Master     tricksed us.,Gollum,The Two Towers 
Master betrayed us.,Gollum,The Two Towers 
No. Not its business. Leave us alone!,Gollum,The Two Towers 
Filthy little     Hobbitses! They stole it from us!,Gollum,The Two Towers 
There is still hope.,Arwen,The Two Towers 
If Aragorn survives this waryou will still be parted.If Sauron is defeatedand Aragorn made king......and all that you hope forcomes true......you will still have to tastethe bitterness of mortality.,Elrond,The Two Towers 
Whether by the swordor the slow decay of time......Aragorn will die.And there will be no comfortfor you......no comfort to ease the painof his passing.He will come to death......an image of the splendorof the kings of Men......in glory undimmed beforethe breaking of the world.,Elrond,The Two Towers 
I have made my choice.,Arwen,The Two Towers 
Of course he did. I told you he was tricksy. I told you he was false.,Gollum,The Two Towers 
Master is our friend. Our friend.,Gollum,The Two Towers 
"Arwen.,There is nothing for you here......only death.Â ",Elrond,The Two Towers 
"I amar prestar aen... han mathon ne nen, han mathon ne chae a han noston     ned 'wilith.                     ",Galadriel,The Two Towers 
What news?,Faramir,The Two Towers 
"But you, my daughter......you will linger on in darknessand in doubt......as nightfall in winterthat comes without a star.Here you will dwell......bound to your griefunder the fading trees...... until all the world is changed......and the long years of your lifeare utterly spent.Â ",Elrond,The Two Towers 
How many?,Faramir,The Two Towers 
Some thousands. More come every day.,Madril,The Two Towers 
Who's covering the river to the north?,Faramir,The Two Towers 
"We pulled 500 men at Osgiliath. If their city is attacked, we won't hold     it.Â ",Madril,The Two Towers 
"Gerich veleth n'n, ada. ",Arwen,The Two Towers 
What did they steal?,Faramir,The Two Towers 
My precious!,Gollum,The Two Towers 
No. No.,Gollum,The Two Towers 
"Our scouts report Saruman has attacked Rohan. , Theoden's people have fled     to Helm's Deep. But we must look to our own borders. Faramir, Orcs are on     the move. Sauron is marshaling an army. Easterlings and Southrons are at the     Black Gate.Â ",Madril,The Two Towers 
"A im, '-'erin veleth l'n? ",Elrond,The Two Towers 
"We have to get out of here.     You go. Go, now. You can do it. Use the Ring, Mr. Frodo. Just this once. Put     it on. Disappear.Â ",Samwise Gamgee,The Two Towers 
No!,Frodo Baggins,The Two Towers 
"Stop it! Leave him alone. ,Don't you understand? He's got to destroy     it! That's where we're going, into Mordor. To the Mountain of Fire! Â ",Samwise Gamgee,The Two Towers 
Osgiliath is under attack. They call for reinforcements.,MINOR_CHARACTER,The Two Towers 
Please. It's such a burden.     Will you not help him?,Samwise Gamgee,The Two Towers 
Captain?,MINOR_CHARACTER,The Two Towers 
" Prepare to leave.    ,The Ring will go to Gondor.    ",Faramir,The Two Towers 
Mr.     Frodo....,Samwise Gamgee,The Two Towers 
"So this is the answer to all the riddles. ,Here in the     Wild I have you......two Halflings......and a host of men at my call.,The Ring of Power within my     grasp.,A chance for Faramir, captain of Gondor......to     show his quality.Â ",Faramir,The Two Towers 
My men tell me that you are Orc spies.,Faramir,The Two Towers 
Saruman attacks from lsengard. Sauron from Mordor. The fight will come to     Men on both fronts. Gondor is weak. Sauron will strike us soon. And he will     strike hard. He knows now we do not have the strength to repel him.,Faramir,The Two Towers 
" I can't. You were right, Sam. You tried to tell me but....,I'm sorry. The Ring's taking me, Sam. If I put it     on......he'll find me. He'll see.Â ",Frodo Baggins,The Two Towers 
" Mae carnen, Brego,     mellon n'n. ",Aragorn II Elessar,The Two Towers 
"We are Hobbits of the Shire. Frodo Baggins is my name, and this is     Samwise Gamgee.Â ",Frodo Baggins,The Two Towers 
Your bodyguard?,Faramir,The Two Towers 
His gardener.,Samwise Gamgee,The Two Towers 
And where is your skulking friend? That gangrel creature. He had an ill-favored     look.,Faramir,The Two Towers 
"Well, if you're not spies, then who are you?Â ",Faramir,The Two Towers 
"There was no other.    ,We set out from Rivendell with seven companions. One we lost in Moria......two     were my kin......a Dwarf there was also. And an Elf and two Men. Aragorn,     son of Arathorn, and Boromir of Gondor.Â ",Frodo Baggins,The Two Towers 
You're a friend of Boromir?,Faramir,The Two Towers 
Speak.,Faramir,The Two Towers 
Spies? Now wait just a minute.,Samwise Gamgee,The Two Towers 
"Gimli, where is the king? Â ",Aragorn II Elessar,The Two Towers 
"Le abdollen. ,You look terrible.    ",Legolas,The Two Towers 
Hannon le.,Aragorn II Elessar,The Two Towers 
"A great host, you say?Â ",Théoden,The Two Towers 
All lsengard is emptied.,Aragorn II Elessar,The Two Towers 
How many?,Théoden,The Two Towers 
He's alive!,MINOR_CHARACTER,The Two Towers 
Yes.Â  For my part.,Frodo Baggins,The Two Towers 
"Where is he? Where is he?,Get out of the     way! I'm going to kill him!,You are the luckiest, the canniest    ,.....and the most reckless man     I ever knew. Bless you, laddie. ",Gimli,The Two Towers 
Ten thousand strong at least.,Aragorn II Elessar,The Two Towers 
Ten thousand?,Théoden,The Two Towers 
It is an army bred for a single purpose: To destroy the world of Men.     They will be here by nightfall.,Aragorn II Elessar,The Two Towers 
I want every man and strong     lad able to bear arms......to be ready for battle by nightfall.,Théoden,The Two Towers 
Dead? How? When?,Frodo Baggins,The Two Towers 
"As one of his companions, I'd hoped you would tell me.Â ",Faramir,The Two Towers 
"If something has happened to Boromir, we would have you tell us.Â ",Frodo Baggins,The Two Towers 
"His horn washed up upon the riverbank, about six days past. It was     cloven in two. But more than this, I know it in my heart.    ,He was my brother.Â ",Faramir,The Two Towers 
This is no rabble of mindless Orcs. These are Uruk-hai. Their armour is     thick and their shields broad.,Gimli,The Two Towers 
"I have fought many wars, Master Dwarf. I know how to defend my own keep.Â ",Théoden,The Two Towers 
Let them come!,Théoden,The Two Towers 
They do not come to destroy Rohan's crops or villages. They come to     destroy its people......down to the last child.,Aragorn II Elessar,The Two Towers 
We will cover the causeway and the gate from above. No army has ever     breached the Deeping Wall......or set foot inside the Hornburg!,Théoden,The Two Towers 
It will grieve you then to     learn that he is dead.,Faramir,The Two Towers 
"They will break upon this fortress like water on rock.    ,Saruman's     hordes will pillage and burn.    We've seen it before. Crops can be resown......homes rebuilt. Within these     walls......we will outlast them.Â ",Théoden,The Two Towers 
"What would you have me do? Look at my men. Their courage hangs by a     thread. If this is to be our end, then I would have them make such an     end......as to be worthy of remembrance.Â ",Théoden,The Two Towers 
And who will come? Elves? Dwarves? We are not so lucky in our friends as     you. The old alliances are dead.,Théoden,The Two Towers 
Gondor will answer.,Aragorn II Elessar,The Two Towers 
We need more time to lay provisions--,Gamling,The Two Towers 
The light of the Evenstardoes not wax and wane.It is mine to give to whom I will.Like my heart.Go to sleep.,Arwen,The Two Towers 
"I am asleep.,This is a dream.Â ",Aragorn II Elessar,The Two Towers 
"Then it is a good dream. ,Sleep. ",Arwen,The Two Towers 
"(    Gondor?! Where was Gondor when the Westfold fell?! Where was Gondor when our     enemies closed in around us?! Where was Gon--? ,No, my Lord     Aragorn......we are alone. ,Get the women and children     into the caves.Â ",Théoden,The Two Towers 
"Send out riders, my lord. You must call for aid. Â ",Aragorn II Elessar,The Two Towers 
Minl' pendich nin i aur     hen telitha.,Aragorn II Elessar,The Two Towers 
We wants it.We needs it.Must have the precious.They stole it from us.Sneaky little Hobbitses.Wicked. Tricksy. False.,Gollum,The Two Towers 
"Yes, precious. False.They will cheat you, hurt you, lie! Â ",Gollum,The Two Towers 
Master's my friend.,Gollum,The Two Towers 
Not listening. I'm not listening.,Gollum,The Two Towers 
You're a liar and a thief.,Gollum,The Two Towers 
No.,Gollum,The Two Towers 
"We Ents have not troubled......about the wars of Men and     wizards......for a very long time. But now, something is about to     happen......that has not happened......for an age.,Entmoot.Â ",Treebeard,The Two Towers 
There is no time. War is upon us. Secure the gate.,Théoden,The Two Towers 
No. Not master.,Gollum,The Two Towers 
You don't have any friends.Nobody likes you.,Gollum,The Two Towers 
What's that?,Meriadoc Brandybuck,The Two Towers 
'Tis a gathering.,Treebeard,The Two Towers 
A     gathering of what?,Meriadoc Brandybuck,The Two Towers 
"Beech. Oak. Chestnut. Ash. Good. Good. Good. Many have come.,Now we must decide if the Ents......will     go to war.Â ",Treebeard,The Two Towers 
Arwen....,Aragorn II Elessar,The Two Towers 
Ae '-esteliach nad...     estelio han. Estelio ammen.,Arwen,The Two Towers 
Where is she?The woman who gave you that jewel.,Éowyn,The Two Towers 
Our time here is ending.Arwen's time is ending.Let her go.Let her take the ship into the west.Let her bear away her love for youto the Undying Lands.There it will be ever green.,Elrond,The Two Towers 
But never more than memory.,Aragorn II Elessar,The Two Towers 
I will not leave my daughter hereto die.,Elrond,The Two Towers 
Si peliannen i v'd na dail l'n. Si boe '-dhannathach.,Arwen,The Two Towers 
Dolen i v'd o nin.,Aragorn II Elessar,The Two Towers 
' i vethed... n' i onnad. Boe bedich go Frodo. Han b'd l'n.,Arwen,The Two Towers 
Ma nathach hi gwannathach or minuial archened?,Arwen,The Two Towers 
Murderer.,Gollum,The Two Towers 
Go away.,Gollum,The Two Towers 
Go away?,Gollum,The Two Towers 
I hate you.I hate you.,Gollum,The Two Towers 
Where would you be without me?Gollum. Gollum.I saved us.It was me. We survived because of me.,Gollum,The Two Towers 
She stays because she still has hope.,Aragorn II Elessar,The Two Towers 
She stays for you.She belongs with her people.,Elrond,The Two Towers 
Nach gwannatha sin?,Arwen,The Two Towers 
What did you say?,Gollum,The Two Towers 
Master looks after us now.We don't need you.,Gollum,The Two Towers 
What?,Gollum,The Two Towers 
No.,Gollum,The Two Towers 
Not anymore.,Gollum,The Two Towers 
Leave now......and never come back.,Gollum,The Two Towers 
Leave now and never come back.,Gollum,The Two Towers 
Leave now and never come back!,Gollum,The Two Towers 
Gandalf the White.Gandalf the Fool!Does he seek to humble mewith his newfound piety?,Saruman,The Two Towers 
"The Ring of Barahir.So Gandalf Greyhamethinks he has found lsildur's heir.The lost king of Gondor.He is a fool.The line was broken years ago. ,It matters not.The world of Men shall fall.It will begin at Edoras.Â ",Saruman,The Two Towers 
"I am ready, Gamling.Bring my horse.Â ",Théoden,The Two Towers 
"This is not a defeat. We will return.,We will return.Â ",Théoden,The Two Towers 
'-ethelithon.,Aragorn II Elessar,The Two Towers 
Estelio guru l'n ne dagor.     Ethelithach.,Arwen,The Two Towers 
You stink of horse.The Man......was he from Gondor?,Saruman,The Two Towers 
'-bedin o gurth ne dagor.,Aragorn II Elessar,The Two Towers 
"There were threewho followed the wizard.An Elf, a Dwarf and a Man.Â ",Gríma Wormtongue,The Two Towers 
"No, from the North.One of the Dunedain RangersI thought he was.His cloth was poor.And yet he bore a strange ringTwo serpents with emerald eyes..Â One devouringthe other crowned with golden flowers.Â ",Gríma Wormtongue,The Two Towers 
O man pedich?,Arwen,The Two Towers 
"Edra le men, men na guil edwen. Haer o auth a n'r a naeth. ",Aragorn II Elessar,The Two Towers 
This belongs to you.,Aragorn II Elessar,The Two Towers 
It was a gift.Keep it.,Arwen,The Two Towers 
My lord?,Éowyn,The Two Towers 
She is sailing to the Undying Landswith all that is left of her kin.,Aragorn II Elessar,The Two Towers 
What is it? Hama?,Gamling,The Two Towers 
I'm not sure.,Háma,The Two Towers 
"I am mortal. You are Elf-kind.It was a dream, Arwen.Nothing more.Â ",Aragorn II Elessar,The Two Towers 
I don't believe you.,Arwen,The Two Towers 
A scout!,Legolas,The Two Towers 
Wargs!,Gamling,The Two Towers 
Look.Look. See what Smeagol finds?,Gollum,The Two Towers 
"They are young.They are tender. They are nice.Yes, they are. Eat them. Eat them!    ",Gollum,The Two Towers 
"You'll make him sick, you will......behaving like that.    ,There's only one way to eata brace of coneys.Â ",Samwise Gamgee,The Two Towers 
"We told him to go away.And away he goes, precious. ,Gone! Gone! Gone!Smeagol is free!Â ",Gollum,The Two Towers 
Why are you saying this?,Arwen,The Two Towers 
What's to ruin? There's hardly any meaton them.,Samwise Gamgee,The Two Towers 
Po-ta-toes.,Samwise Gamgee,The Two Towers 
"Boil them, mash themstick them in a stew.Lovely, big, golden chipswith a nice piece of fried fish. Â ",Samwise Gamgee,The Two Towers 
Even you couldn't say no to that.,Samwise Gamgee,The Two Towers 
"What's it doing?Stupid, fat Hobbit.It ruins it.Â ",Gollum,The Two Towers 
You're hopeless.,Samwise Gamgee,The Two Towers 
Mr. Frodo?,Samwise Gamgee,The Two Towers 
Who are they?,Samwise Gamgee,The Two Towers 
"What's taters, precious?What's taters? Eh?Â ",Gollum,The Two Towers 
What we need is a few good taters.,Samwise Gamgee,The Two Towers 
You have some skill with a blade.,Aragorn II Elessar,The Two Towers 
"Oh, yes, we could.Spoil a nice fish. ,Give it to us raw...    ,...and wriggling.You keep nasty chips.Â ",Gollum,The Two Towers 
Women of this country learned long ago:Those without swordscan still die upon them.I fear neither death nor pain.,Éowyn,The Two Towers 
A cage.To stay behind bars until useand old age accept them.And all chance of valor has gonebeyond recall or desire.,Éowyn,The Two Towers 
"What do you fear, my lady?Â ",Aragorn II Elessar,The Two Towers 
Send out your Warg-riders.,Saruman,The Two Towers 
"Theoden will not stay at Edoras.It's vulnerable. He knows this.,He will expect an attack on the city.,They will flee to Helm's Deep......the great fortress of Rohan.,It is a dangerous road to takethrough the mountains.,They will be slow.,They will have women and childrenwith them. Â ",Gríma Wormtongue,The Two Towers 
What?,Samwise Gamgee,The Two Towers 
Call him names.Run him down all the time.,Frodo Baggins,The Two Towers 
"Because.Because that's what he is, Mr. Frodo.There's naught left in himbut lies and deceit.It's the Ring he wants.It's all he cares about.Â ",Samwise Gamgee,The Two Towers 
Why do you do that?,Frodo Baggins,The Two Towers 
"You have no idea what it did to him......what it's still doing to him.,I want to help him, Sam.Â ",Frodo Baggins,The Two Towers 
You're a daughter of kings......a shieldmaiden of Rohan.I do not think that would be your fate.,Aragorn II Elessar,The Two Towers 
Why?,Samwise Gamgee,The Two Towers 
Get them out of here!,Aragorn II Elessar,The Two Towers 
All riders to the head of the column.,Théoden,The Two Towers 
What is it? What do you see?,Théoden,The Two Towers 
Warg! We're under attack!,Aragorn II Elessar,The Two Towers 
"You must lead the peopleto Helm's Deep, and make haste.Â ",Théoden,The Two Towers 
Come on. Get me up here. I'm a rider.Come on!,Gimli,The Two Towers 
"No!You must do this, for me.Â ",Théoden,The Two Towers 
I can fight.,Éowyn,The Two Towers 
"Hey, stinker, don't go gettingtoo far ahead.Â ",Samwise Gamgee,The Two Towers 
"Forward. I mean, charge forward.Â ",Gimli,The Two Towers 
Stay together!,Faramir,The Two Towers 
Bring your pretty face to my axe.,Gimli,The Two Towers 
Follow me!,Théoden,The Two Towers 
That's it! Go on!,Gimli,The Two Towers 
Make for the lower ground!,Faramir,The Two Towers 
Ready to do what?,Samwise Gamgee,The Two Towers 
To make his war.The last war that will coverall the world in Shadow.,Gollum,The Two Towers 
Mr. Frodo.Look.It's an oliphaunt.,Samwise Gamgee,The Two Towers 
"We've got to get moving. Come on, Sam. Â ",Frodo Baggins,The Two Towers 
Wicked Men.Servants of Sauron.They are called to Mordor.The Dark One is gathering all armiesto him.It won't be long now.He will soon be ready.,Gollum,The Two Towers 
No one at home will believe this.,Samwise Gamgee,The Two Towers 
Smeagol?,Frodo Baggins,The Two Towers 
"We've lingered here too long.Come on, Sam.Â ",Frodo Baggins,The Two Towers 
Wait! We're innocent travelers!,Samwise Gamgee,The Two Towers 
We are bound to an errand of secrecy.Those that claim to oppose the enemywould do well not to hinder us.,Frodo Baggins,The Two Towers 
"The enemy? ,His sense of duty was no lessthan yours, I deem.,You wonder what his name is......where he came from.,And if he was really evil at heart.,What lies or threats led himon this long march from home.,If he would not rather have stayed there......in peace.,War will make corpses of us all.,Bind their hands.",Faramir,The Two Towers 
There are no travelers in this land.Only servants of the Dark Tower.,Faramir,The Two Towers 
Because I have to believehe can come back.,Frodo Baggins,The Two Towers 
"You can't save him, Mr. Frodo.Â ",Samwise Gamgee,The Two Towers 
"It's true, you don't seemany Dwarf women.And in fact, they are so alikein voice and appearance......that they're often mistakenfor Dwarf men.Â ",Gimli,The Two Towers 
"What do you know about it?Nothing! ,I'm sorry, Sam. I don't knowwhy I said that.Â ",Frodo Baggins,The Two Towers 
"I do. ,It's the Ring.You can't take your eyes off it.I've seen you.You're not eating. You barely sleep. ,It's taken hold of you, Mr. Frodo. You have to fight it.Â ",Samwise Gamgee,The Two Towers 
"I know what I have to do, Sam.The Ring was entrusted to me.It's my task.Mine! My own!Â ",Frodo Baggins,The Two Towers 
Can't you hear yourself?Don't you know who you sound like?,Samwise Gamgee,The Two Towers 
Aragorn!,Legolas,The Two Towers 
"That one counts as mine! ,Stinking creature.Â ",Gimli,The Two Towers 
"(,You lie.Â ",Legolas,The Two Towers 
Tell me what happenedand I will ease your passing.,Gimli,The Two Towers 
Aragorn?,Gimli,The Two Towers 
Get the wounded on horses.The wolves of lsengard will return.Leave the dead.,Théoden,The Two Towers 
